Diabetes,GDP,Internet,UrbanPop,Income
6.6,1420722034063,65.8,78.442,25097.7878143024
10.9,56725749221.9043,12,18.226,2597.12453308387
9.3,1399203481.48148,32.5,18.45,6631.36664508878
8.4,681225962.962963,33.7,48.961,5355.41816834831
10.5,4368398047.64333,31.59,66.344,5592.94912279672
5.2,495328620126.028,90,85.056,44707.6247124126
8.9,583783396408.582,83.9,73.607,63531.5182977091
5,5642178579.58438,11.55,26.52,780.075338086934
3.2,32014249841.4151,2.9,28.114,646.999413145045
7.1,341105009515.333,22.4,43.856,4000.15571487078
3.5,3998961300,3,27.732,1253.88450325532
4.3,3426022205.75557,3,37.533,433.68584128685
11.7,22157948396.2042,48.5,54.025,12174.5398400562
9.3,44050929160.2627,36.8,66.657,3150.68416126033
8,771901768870.083,39.82,70.825,8954.72693275058
5.3,22583157894.7368,3,48.491,3029.29614865057
7.6,136013155905.036,23.3,68.596,2423.99173239944
3.6,2475244321361.11,85,81.302,33896.3924266902
10.3,14992052727000,71.69,80.772,40911.9571730115
5.7,40284481653.4343,46.4,94.414,10256.2774087538
5.2,46679875793.5724,15.9,50.956,1177.69467421721
3.2,700804286.224354,8,24.462,2547.9796626139
6.5,393192354510.653,37.37,88.083,12662.4860154945
3.5,115931749697.241,30.65,30.417,1075.56605935012
3,30906749533.221,12.35,31.776,1005.93136855873
4.1,12041655200,6.4,33.196,773.958005284989
9.80454810949658,2110267956841.91,24.9477618371479,56.4408791933362,4792.27906491821
10.418074549589,63277133287.3134,35.3910946256284,50.4340574675408,7339.923081214
7.06113658974773,1313429192814.02,58.5913129651185,62.0260650244198,10044.9474933491
7.37895228524483,8554821044252.18,12.7928570244362,41.9998806600881,2456.32485519204
4.7567610789765,16933217302135.6,34.2705539668784,51.945337432181,6016.71024001112
4.57314542264972,7868985854185,28.9798350006277,47.6203825388378,3079.50296127053
4.56407257141233,7853687810994.79,29.3405130466642,47.4581711710385,3112.59879459885
7.09437820457501,12628220394708.3,71.0275515545602,75.2816981830028,31127.8006329334
6.88249129916651,20960563123621.7,56.0868823063161,70.7487588168112,19487.7023150076
7.27294579948798,3646890509757.81,38.1363445838502,65.1228198987909,6640.67054591441
6.60942722266054,17015366700189.5,70.7546829388255,74.0090595540191,28068.76932753
5.06909784535648,650133065637.334,6.13284561619836,38.727805238027,1164.22958040791
3.94728660282099,477008957175.009,4.7311833750084,32.470697615945,590.987078203232
